a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_empty)|p2_1:(prec_empty)|p1:(prec_empty)|p2_0:(prec_empty)|p0:(prec_empty)
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xI (xH))) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xI (xH))) (prec_cons (Npos (xO (xH))) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xI (xH))) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xI (xH))) (prec_cons (N0) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xI (xH))) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xO (xH))) (prec_cons (Npos (xI (xH))) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xH)) (prec_cons (Npos (xI (xH))) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (N0) (prec_cons (Npos (xI (xH))) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty)))|p0:(prec_cons (Npos (xO (xH))) (prec_empty) (prec_cons (Npos (xI (xH))) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)) (prec_empty)))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty)))|p0:(prec_empty)
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xH)) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_cons (N0) (prec_empty) (prec_empty)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))))|p0:(prec_empty)
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (N0) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (N0) (prec_empty) (prec_empty)))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (N0) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xH)) (prec_cons (Npos (xI (xH))) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)) (prec_empty)) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)))|p0:(prec_cons (N0) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_empty))|p0:(prec_empty)
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_empty)
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xH)) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xO (xH))) (prec_cons (Npos (xH)) (prec_cons (N0) (prec_empty) (prec_empty)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (N0) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_empty)
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (N0) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)))|p0:(prec_cons (Npos (xO (xH))) (prec_cons (Npos (xH)) (prec_empty) (prec_cons (N0) (prec_empty) (prec_empty))) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_empty)) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_empty)
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (N0) (prec_empty) (prec_cons (N0) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (N0) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xH)) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_cons (N0) (prec_empty) (prec_empty)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (N0) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_empty)
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_empty)
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_empty)
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (N0) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_empty)
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (N0) (prec_cons (Npos (xI (xH))) (prec_cons (N0) (prec_empty) (prec_empty)) (prec_empty)) (prec_cons (Npos (xI (xH))) (prec_cons (N0) (prec_empty) (prec_empty)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (N0) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (N0) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_empty)
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)))|p0:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (N0) (prec_empty) (prec_cons (N0) (prec_empty) (prec_empty))))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (N0) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_empty)
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (N0) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))))|p0:(prec_cons (N0) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (N0) (prec_empty) (prec_empty))) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_empty)|p1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xI (xH))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))) (prec_empty))|p0:(prec_cons (N0) (prec_empty) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_empty)|p1:(prec_empty)|p2_0:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))|p0:(prec_cons (Npos (xO (xH))) (prec_cons (Npos (xH)) (prec_empty) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))) (prec_cons (N0) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_empty)))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))|p1:(prec_cons (N0) (prec_empty) (prec_empty))|p2_0:(prec_empty)|p0:(prec_cons (N0) (prec_cons (Npos (xI (xH))) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_empty)))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xH)) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xO (xH))) (prec_cons (N0) (prec_empty) (prec_empty)) (prec_empty))|p0:(prec_cons (Npos (xH)) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty)) (prec_cons (Npos (xI (xH))) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_empty)))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (N0) (prec_empty) (prec_empty))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xI (xH))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty)) (prec_empty)) (prec_empty))|p0:(prec_cons (Npos (xO (xH))) (prec_cons (Npos (xH)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)) (prec_empty)) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (N0) (prec_empty) (prec_empty))|p1:(prec_cons (N0) (prec_cons (N0) (prec_empty) (prec_cons (N0) (prec_empty) (prec_empty))) (prec_empty))|p2_0:(prec_cons (Npos (xI (xH))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)))|p0:(prec_cons (N0) (prec_empty) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_empty)|p2_1:(prec_empty)|p1:(prec_cons (Npos (xH)) (prec_cons (Npos (xI (xH))) (prec_cons (N0) (prec_empty) (prec_empty)) (prec_empty)) (prec_empty))|p2_0:(prec_empty)|p0:(prec_cons (Npos (xO (xH))) (prec_cons (N0) (prec_empty) (prec_empty)) (prec_empty))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_empty)|p2_1:(prec_empty)|p1:(prec_cons (Npos (xH)) (prec_empty) (prec_empty))|p2_0:(prec_cons (N0) (prec_empty) (prec_empty))|p0:(prec_cons (Npos (xH)) (prec_cons (Npos (xO (xH))) (prec_cons (N0) (prec_empty) (prec_empty)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))))
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_empty)|p2_1:(prec_empty)|p1:(prec_cons (Npos (xH)) (prec_empty) (prec_empty))|p2_0:(prec_cons (N0) (prec_empty) (prec_empty))|p0:(prec_cons (Npos (xH)) (prec_cons (Npos (xO (xH))) (prec_cons (N0) (prec_empty) (prec_empty)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)))
